01:32:08.444 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
01:32:18.397 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,78] - 发送心跳指令到设备 ID: 58, 指令: 01 03 00 00 00 01 84 0A
01:32:18.398 [main] INFO  c.s.s.SensorCommunicationService - [startSensorCommunication,83] - 查询到 2 个传感器设备
01:32:18.398 [main] INFO  c.s.s.SensorCommunicationService - [startSensorCommunication,86] - 设备信息: 名称=温度湿度光照传感器, ID=58, 类型ID=1, 指令=01 03 00 00 00 03 05 CB
01:32:18.398 [main] INFO  c.s.s.SensorCommunicationService - [startSensorCommunication,96] - 启动传感器采集任务: 温度湿度光照传感器 (ID: 58, 类型: 1)
01:32:18.399 [main] INFO  c.s.s.SensorCommunicationService - [startSensorCommunication,86] - 设备信息: 名称=土壤8合一传感器, ID=59, 类型ID=2, 指令=02 03 00 00 00 20 44 21
01:32:18.399 [main] INFO  c.s.s.SensorCommunicationService - [startSensorCommunication,96] - 启动传感器采集任务: 土壤8合一传感器 (ID: 59, 类型: 2)
01:32:18.697 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,105] - 收到设备回复。设备ID: 58, 回复: 01 03 02 00 ED 78 09
01:32:18.699 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,124] - 心跳回复校验通过。设备ID: 58
01:32:18.897 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 温度湿度光照传感器 (ID: 58): 01 03 00 00 00 03 05 CB
01:32:19.102 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 接收到原始数据: 01 03 06 00 ED 02 74 00 1A 4D 0B
01:32:19.102 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 解析后的数据: {illuminance=26.0, pastureId=71, temperature=23.7, humidity=62.8, type=air, deviceId=58, deviceName=温度湿度光照传感器}
01:32:19.238 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveAirData,124] - 空气传感器数据保存成功: 设备ID=58, 温度=23.7, 湿度=62.8, 光照=26.0
01:32:19.282 [Serial-Command-Executor] INFO  c.s.c.DynamicMqttClientFactoryManager - [createClientFactoryWithConfig,117] - 创建MQTT客户端工厂: broker=tcp://43.139.89.73:1883, username=bxwy
01:32:19.308 [Serial-Command-Executor] INFO  c.s.s.i.DynamicMqttServiceImpl - [lambda$getOrCreateMessageHandler$0,169] - 创建动态MQTT MessageHandler: deviceId=58, broker=tcp://43.139.89.73:1883, clientId=dynamic_mqtt_58_079f5a06
01:32:19.725 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 土壤8合一传感器 (ID: 59): 02 03 00 00 00 20 44 21
01:32:19.930 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 接收到原始数据: 02 03 40 00 E3 00 96 00 91 00 69 00 21 00 05 00 27 02 8F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 00 14 00 13 00 37 00 38 00 39 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF FB
01:32:19.930 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 解析后的数据: {salinity=105.0, potassium=39.0, conductivity=145.0, soil_temperature=22.7, nitrogen=33.0, pastureId=71, soil_humidity=15.0, type=soil, deviceId=59, deviceName=土壤8合一传感器, ph_value=6.55, phosphorus=5.0}
01:32:19.959 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveSoilData,138] - 土壤传感器数据保存成功: 设备ID=59, 温度=22.7, 湿度=15.0, pH=6.55
01:32:20.225 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,78] - 发送心跳指令到设备 ID: 59, 指令: 02 03 00 00 00 01 84 39
01:32:20.526 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,105] - 收到设备回复。设备ID: 59, 回复: 02 03 02 00 E3 BD CD
01:32:20.526 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,124] - 心跳回复校验通过。设备ID: 59
01:32:23.402 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 温度湿度光照传感器 (ID: 58): 01 03 00 00 00 03 05 CB
01:32:23.607 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 接收到原始数据: 01 03 06 00 ED 02 72 00 1A AD 0A
01:32:23.607 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 解析后的数据: {illuminance=26.0, pastureId=71, temperature=23.7, humidity=62.6, type=air, deviceId=58, deviceName=温度湿度光照传感器}
01:32:23.614 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveAirData,124] - 空气传感器数据保存成功: 设备ID=58, 温度=23.7, 湿度=62.6, 光照=26.0
01:32:23.903 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 土壤8合一传感器 (ID: 59): 02 03 00 00 00 20 44 21
01:32:24.010 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
01:32:24.107 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 接收到原始数据: 02 03 40 00 E3 00 94 00 91 00 69 00 21 00 05 00 27 02 8F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 00 14 00 13 00 37 00 38 00 39 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 46 3A
01:32:24.107 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 解析后的数据: {salinity=105.0, potassium=39.0, conductivity=145.0, soil_temperature=22.7, nitrogen=33.0, pastureId=71, soil_humidity=14.8, type=soil, deviceId=59, deviceName=土壤8合一传感器, ph_value=6.55, phosphorus=5.0}
01:32:24.115 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveSoilData,138] - 土壤传感器数据保存成功: 设备ID=59, 温度=22.7, 湿度=14.8, pH=6.55
01:32:28.070 [schedule-pool-1] INFO  sys-user - [run,56] - [127.0.0.1]内网IP[admin][Success][登录成功]
01:32:28.403 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 温度湿度光照传感器 (ID: 58): 01 03 00 00 00 03 05 CB
01:32:28.606 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 接收到原始数据: 01 03 06 00 ED 02 70 00 1C 8C C8
01:32:28.606 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 解析后的数据: {illuminance=28.0, pastureId=71, temperature=23.7, humidity=62.4, type=air, deviceId=58, deviceName=温度湿度光照传感器}
01:32:28.614 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveAirData,124] - 空气传感器数据保存成功: 设备ID=58, 温度=23.7, 湿度=62.4, 光照=28.0
01:32:28.903 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 土壤8合一传感器 (ID: 59): 02 03 00 00 00 20 44 21
01:32:29.107 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 接收到原始数据: 02 03 40 00 E3 00 96 00 91 00 69 00 21 00 05 00 27 02 8F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 00 14 00 13 00 37 00 38 00 39 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF FB
01:32:29.107 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 解析后的数据: {salinity=105.0, potassium=39.0, conductivity=145.0, soil_temperature=22.7, nitrogen=33.0, pastureId=71, soil_humidity=15.0, type=soil, deviceId=59, deviceName=土壤8合一传感器, ph_value=6.55, phosphorus=5.0}
01:32:29.117 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveSoilData,138] - 土壤传感器数据保存成功: 设备ID=59, 温度=22.7, 湿度=15.0, pH=6.55
01:32:30.535 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,78] - 发送心跳指令到设备 ID: 58, 指令: 01 03 00 00 00 01 84 0A
01:32:30.836 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,105] - 收到设备回复。设备ID: 58, 回复: 01 03 02 00 ED 78 09
01:32:30.836 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,124] - 心跳回复校验通过。设备ID: 58
01:32:31.036 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,78] - 发送心跳指令到设备 ID: 59, 指令: 02 03 00 00 00 01 84 39
01:32:31.337 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,105] - 收到设备回复。设备ID: 59, 回复: 02 03 02 00 E3 BD CD
01:32:31.337 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,124] - 心跳回复校验通过。设备ID: 59
01:32:33.404 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 土壤8合一传感器 (ID: 59): 02 03 00 00 00 20 44 21
01:32:33.607 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 接收到原始数据: 02 03 40 00 E3 00 90 00 91 00 69 00 21 00 05 00 27 02 8F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 00 14 00 13 00 37 00 38 00 39 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B7 F9
01:32:33.607 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 解析后的数据: {salinity=105.0, potassium=39.0, conductivity=145.0, soil_temperature=22.7, nitrogen=33.0, pastureId=71, soil_humidity=14.4, type=soil, deviceId=59, deviceName=土壤8合一传感器, ph_value=6.55, phosphorus=5.0}
01:32:33.612 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveSoilData,138] - 土壤传感器数据保存成功: 设备ID=59, 温度=22.7, 湿度=14.4, pH=6.55
01:32:33.904 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 温度湿度光照传感器 (ID: 58): 01 03 00 00 00 03 05 CB
01:32:34.107 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 接收到原始数据: 01 03 06 00 ED 02 6D 00 1A 9C CC
01:32:34.107 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 解析后的数据: {illuminance=26.0, pastureId=71, temperature=23.7, humidity=62.1, type=air, deviceId=58, deviceName=温度湿度光照传感器}
01:32:34.112 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveAirData,124] - 空气传感器数据保存成功: 设备ID=58, 温度=23.7, 湿度=62.1, 光照=26.0
01:32:34.162 [http-nio-8080-exec-20] INFO  c.s.h.MyMetaObjectHandler - [updateFill,38] - start update fill ....
01:32:34.479 [http-nio-8080-exec-24] INFO  c.s.h.MyMetaObjectHandler - [updateFill,38] - start update fill ....
01:32:34.882 [http-nio-8080-exec-28] INFO  c.s.h.MyMetaObjectHandler - [updateFill,38] - start update fill ....
01:32:38.405 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 土壤8合一传感器 (ID: 59): 02 03 00 00 00 20 44 21
01:32:38.607 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 接收到原始数据: 02 03 40 00 E3 00 9A 00 91 00 69 00 21 00 05 00 27 02 8F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 00 14 00 13 00 37 00 38 00 39 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AF FF
01:32:38.607 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 解析后的数据: {salinity=105.0, potassium=39.0, conductivity=145.0, soil_temperature=22.7, nitrogen=33.0, pastureId=71, soil_humidity=15.4, type=soil, deviceId=59, deviceName=土壤8合一传感器, ph_value=6.55, phosphorus=5.0}
01:32:38.613 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveSoilData,138] - 土壤传感器数据保存成功: 设备ID=59, 温度=22.7, 湿度=15.4, pH=6.55
01:32:38.907 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 温度湿度光照传感器 (ID: 58): 01 03 00 00 00 03 05 CB
01:32:39.110 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 接收到原始数据: 01 03 06 00 ED 02 6C 00 1A CD 0C
01:32:39.110 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 解析后的数据: {illuminance=26.0, pastureId=71, temperature=23.7, humidity=62.0, type=air, deviceId=58, deviceName=温度湿度光照传感器}
01:32:39.115 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveAirData,124] - 空气传感器数据保存成功: 设备ID=58, 温度=23.7, 湿度=62.0, 光照=26.0
01:32:41.346 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,78] - 发送心跳指令到设备 ID: 58, 指令: 01 03 00 00 00 01 84 0A
01:32:41.647 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,105] - 收到设备回复。设备ID: 58, 回复: 01 03 02 00 ED 78 09
01:32:41.647 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,124] - 心跳回复校验通过。设备ID: 58
01:32:41.847 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,78] - 发送心跳指令到设备 ID: 59, 指令: 02 03 00 00 00 01 84 39
01:32:42.148 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,105] - 收到设备回复。设备ID: 59, 回复: 02 03 02 00 E3 BD CD
01:32:42.148 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,124] - 心跳回复校验通过。设备ID: 59
01:32:43.405 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 温度湿度光照传感器 (ID: 58): 01 03 00 00 00 03 05 CB
01:32:43.607 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 接收到原始数据: 01 03 06 00 ED 02 6B 00 1A 7C CD
01:32:43.607 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 解析后的数据: {illuminance=26.0, pastureId=71, temperature=23.7, humidity=61.9, type=air, deviceId=58, deviceName=温度湿度光照传感器}
01:32:43.613 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveAirData,124] - 空气传感器数据保存成功: 设备ID=58, 温度=23.7, 湿度=61.9, 光照=26.0
01:32:43.905 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 土壤8合一传感器 (ID: 59): 02 03 00 00 00 20 44 21
01:32:44.108 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 接收到原始数据: 02 03 40 00 E3 00 96 00 91 00 69 00 21 00 05 00 27 02 8F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 00 14 00 13 00 37 00 38 00 39 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF FB
01:32:44.108 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 解析后的数据: {salinity=105.0, potassium=39.0, conductivity=145.0, soil_temperature=22.7, nitrogen=33.0, pastureId=71, soil_humidity=15.0, type=soil, deviceId=59, deviceName=土壤8合一传感器, ph_value=6.55, phosphorus=5.0}
01:32:44.114 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveSoilData,138] - 土壤传感器数据保存成功: 设备ID=59, 温度=22.7, 湿度=15.0, pH=6.55
01:32:48.405 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 土壤8合一传感器 (ID: 59): 02 03 00 00 00 20 44 21
01:32:48.608 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 接收到原始数据: 02 03 40 00 E3 00 9A 00 91 00 69 00 21 00 05 00 27 02 8F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 00 14 00 13 00 37 00 38 00 39 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AF FF
01:32:48.608 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 解析后的数据: {salinity=105.0, potassium=39.0, conductivity=145.0, soil_temperature=22.7, nitrogen=33.0, pastureId=71, soil_humidity=15.4, type=soil, deviceId=59, deviceName=土壤8合一传感器, ph_value=6.55, phosphorus=5.0}
01:32:48.614 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveSoilData,138] - 土壤传感器数据保存成功: 设备ID=59, 温度=22.7, 湿度=15.4, pH=6.55
01:32:48.906 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 温度湿度光照传感器 (ID: 58): 01 03 00 00 00 03 05 CB
01:32:49.108 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 接收到原始数据: 01 03 06 00 ED 02 6A 00 1A 2D 0D
01:32:49.109 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 温度湿度光照传感器 (ID: 58, 类型: 1) 解析后的数据: {illuminance=26.0, pastureId=71, temperature=23.7, humidity=61.8, type=air, deviceId=58, deviceName=温度湿度光照传感器}
01:32:49.113 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveAirData,124] - 空气传感器数据保存成功: 设备ID=58, 温度=23.7, 湿度=61.8, 光照=26.0
01:32:52.153 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,78] - 发送心跳指令到设备 ID: 58, 指令: 01 03 00 00 00 01 84 0A
01:32:52.455 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,105] - 收到设备回复。设备ID: 58, 回复: 01 03 02 00 ED 78 09
01:32:52.455 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,124] - 心跳回复校验通过。设备ID: 58
01:32:52.655 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,78] - 发送心跳指令到设备 ID: 59, 指令: 02 03 00 00 00 01 84 39
01:32:52.955 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,105] - 收到设备回复。设备ID: 59, 回复: 02 03 02 00 E3 BD CD
01:32:52.955 [Serial-Command-Executor] INFO  c.s.s.i.HeartbeatServiceImpl - [lambda$sendHeartbeatAndValidate$0,124] - 心跳回复校验通过。设备ID: 59
01:32:53.405 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 土壤8合一传感器 (ID: 59): 02 03 00 00 00 20 44 21
01:32:53.608 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,145] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 接收到原始数据: 02 03 40 00 E3 00 96 00 91 00 69 00 21 00 05 00 27 02 8F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 12 00 14 00 13 00 37 00 38 00 39 00 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF FB
01:32:53.608 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,166] - 设备 土壤8合一传感器 (ID: 59, 类型: 2) 解析后的数据: {salinity=105.0, potassium=39.0, conductivity=145.0, soil_temperature=22.7, nitrogen=33.0, pastureId=71, soil_humidity=15.0, type=soil, deviceId=59, deviceName=土壤8合一传感器, ph_value=6.55, phosphorus=5.0}
01:32:53.613 [Serial-Command-Executor] INFO  c.s.s.i.DataProcessingServiceImpl - [saveSoilData,138] - 土壤传感器数据保存成功: 设备ID=59, 温度=22.7, 湿度=15.0, pH=6.55
01:32:53.906 [Serial-Command-Executor] INFO  c.s.s.SensorCommunicationService - [lambda$startSensorCollectLoop$0,131] - 发送指令到设备 温度湿度光照传感器 (ID: 58): 01 03 00 00 00 03 05 CB
